protocol,mode,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,74,20260990,libre,22,0,10,181,60,measure,1,B,20000,2,201521,3,3,5266238244363704463
interleaved,interleaved,74,20260990,libre,22,0,10,182,60,measure,2,A_bis,20000,1,112753,3,3,6290856495932733810
interleaved,interleaved,74,20260990,libre,22,0,10,183,61,measure,0,B,20000,2,227306,3,3,7435943859973070982
interleaved,interleaved,74,20260990,libre,22,0,10,184,61,measure,1,A_bis,20000,1,112783,3,3,11089444860397997245
interleaved,interleaved,74,20260990,libre,22,0,10,185,61,measure,2,A,20000,1,112789,3,3,10689464978302377740
interleaved,interleaved,74,20260990,libre,22,0,10,186,62,measure,0,A_bis,20000,1,112764,3,3,14872677010307220816
interleaved,interleaved,74,20260990,libre,22,0,10,187,62,measure,1,B,20000,2,187158,3,3,8430541358301077644
interleaved,interleaved,74,20260990,libre,22,0,10,188,62,measure,2,A,20000,1,90216,3,3,11739473324582498222
interleaved,interleaved,74,20260990,libre,22,0,10,189,63,measure,0,A,20000,1,90232,3,3,13109389450451519584
interleaved,interleaved,74,20260990,libre,22,0,10,190,63,measure,1,B,20000,2,180412,3,3,17893713831302818203
interleaved,interleaved,74,20260990,libre,22,0,10,191,63,measure,2,A_bis,20000,1,90228,3,3,7887430846862537584
interleaved,interleaved,74,20260990,libre,22,0,10,192,64,measure,0,B,20000,2,186036,3,3,9962223993994305856
interleaved,interleaved,74,20260990,libre,22,0,10,193,64,measure,1,A,20000,1,94960,3,3,17856646475069181864
interleaved,interleaved,74,20260990,libre,22,0,10,194,64,measure,2,A_bis,20000,1,101342,3,3,6277555724898472369
interleaved,interleaved,74,20260990,libre,22,0,10,195,65,measure,0,A_bis,20000,1,94990,3,3,10280562433774631258
interleaved,interleaved,74,20260990,libre,22,0,10,196,65,measure,1,B,20000,2,189903,3,3,9900835503578543204
interleaved,interleaved,74,20260990,libre,22,0,10,197,65,measure,2,A,20000,1,94959,3,3,13152692578822761959
interleaved,interleaved,74,20260990,libre,22,0,10,198,66,measure,0,A,20000,1,94979,3,3,5244113637704480967
interleaved,interleaved,74,20260990,libre,22,0,10,199,66,measure,1,A_bis,20000,1,95005,3,3,9685750566187255106
interleaved,interleaved,74,20260990,libre,22,0,10,200,66,measure,2,B,20000,2,189923,3,3,16565162958647025868
interleaved,interleaved,74,20260990,libre,22,0,10,201,67,measure,0,A,20000,1,94964,3,3,10540720388353485653
interleaved,interleaved,74,20260990,libre,22,0,10,202,67,measure,1,A_bis,20000,1,94961,3,3,9077668360241752833
